Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
15-06-2018,400.35,413.8,377.25,400.25,2406,36.55,0.1
14-06-2018,400.05,425,393.45,394.1,5601,31.55,5.95
13-06-2018,410,414.5,402,414.15,7795,12.5,-4.15
12-06-2018,383.4,394.8,381.05,394.8,821,13.75,-11.4
11-06-2018,374.3,384.7,372.8,376,1723,11.9,-1.7
08-06-2018,382.6,382.6,355.2,371.85,1755,27.4,10.75
07-06-2018,360.85,368,335.1,365.6,8755,32.9,-4.75
06-06-2018,342,359.95,340.2,352.65,5472,19.75,-10.65
05-06-2018,358.1,370,358.1,358.1,7714,11.9,0
04-06-2018,399.45,399.45,376.9,376.9,827,22.55,22.55
01-06-2018,411.5,436,396.7,396.7,14757,39.3,14.8
31-05-2018,464,464,404,417.55,5466,60,46.45
30-05-2018,419,459.9,419,443.8,6226,40.9,-24.8
29-05-2018,445.35,453,406.5,419.4,6956,46.5,25.95
28-05-2018,460,470,438.85,444.85,1425,31.15,15.15
25-05-2018,462,470,450,458.15,1094,20,3.85
24-05-2018,480,480,456.4,461.85,253,23.6,18.15
23-05-2018,465,466.95,450.05,456.4,672,16.9,8.6
22-05-2018,437.95,478.7,437.15,463.95,17702,41.55,-26
21-05-2018,450.05,466.15,428,435.2,5699,38.15,14.85
18-05-2018,477.05,483.35,447.6,457.3,6066,35.75,19.75
17-05-2018,499,499,474,484.6,4199,25,14.4
16-05-2018,489,489,458.2,486.35,2924,30.8,2.65
15-05-2018,499.9,499.9,465.55,469,6630,34.35,30.9
14-05-2018,517.9,517.9,490,493.35,2872,27.9,24.55
11-05-2018,508,514.15,502.6,504.15,776,11.55,3.85
10-05-2018,517.9,518,498.7,502.55,2978,19.3,15.35
09-05-2018,518,518,512.45,517.65,2397,5.55,0.35
08-05-2018,516,519.2,491,514.55,1240,28.2,1.45
07-05-2018,545,545,512,516,2555,33,29
04-05-2018,510.1,526,506,518.1,2322,20,-8
03-05-2018,539,539,506,508.9,3520,33,30.1
02-05-2018,554,554,522,524.45,4285,32,29.55
30-04-2018,566,566,541.35,547.1,4177,24.65,18.9
27-04-2018,584.6,594,537.1,545.35,22809,56.9,39.25
26-04-2018,525,545.95,503,545.95,9481,42.95,-20.95
25-04-2018,505.9,520,492.05,496.35,1118,27.95,9.55
24-04-2018,512,512,500,510.7,2651,12,1.3
23-04-2018,510.9,518.05,508,511.65,5015,10.05,-0.75
20-04-2018,530,530,507,509.35,2408,23,20.65
19-04-2018,508,513.5,507,509.25,964,6.5,-1.25
18-04-2018,513.45,520.2,490.1,506.05,1537,30.1,7.4
17-04-2018,511,527.85,500.05,508.8,1621,27.8,2.2
16-04-2018,516.9,520.8,510.05,515.4,1272,10.75,1.5
13-04-2018,512.95,526.1,512.95,516.85,1046,13.15,-3.9
12-04-2018,512.7,515.5,512,512.1,646,3.5,0.6
11-04-2018,510.05,523.65,508,519.85,2496,15.65,-9.8
10-04-2018,523.4,530,508.1,510.75,1789,21.9,12.65
09-04-2018,531.25,531.8,515,520.9,1088,16.8,10.35
06-04-2018,536.7,536.7,519.7,525.85,1992,17,10.85
05-04-2018,520,544.3,520,536.7,6010,24.3,-16.7
04-04-2018,535,556,506,518.4,23753,50,16.6
03-04-2018,511.75,529.55,511.75,529.55,7027,17.8,-17.8
02-04-2018,520,520,498.1,504.35,1691,21.9,15.65
28-03-2018,510,525,501.9,520.85,1626,23.1,-10.85
27-03-2018,515.55,521.7,475,514.4,36052,46.7,1.15
26-03-2018,480,496.9,476.25,496.9,7989,20.65,-16.9
23-03-2018,475,480.7,468,473.25,461623,12.7,1.75
22-03-2018,511.85,511.85,482.5,483.8,3721,29.35,28.05
21-03-2018,491.9,506.9,480,490.05,10434,26.9,1.85
20-03-2018,482,500.2,481.55,482.8,3966,18.65,-0.8
19-03-2018,506,506.2,480.1,491.75,5805,26.1,14.25
16-03-2018,509.6,519.2,498.55,505.35,1077,20.65,4.25
15-03-2018,515,529,505,513.45,1528,24,1.55
14-03-2018,510.55,524,498.05,520.55,5307,25.95,-10
13-03-2018,481,510.65,480.05,510.55,8168,30.6,-29.55
12-03-2018,482,490.45,482,486.35,5954,8.45,-4.35
09-03-2018,482,488.4,478.5,482.95,3203,9.9,-0.95
08-03-2018,461,501.25,461,480.85,17515,40.25,-19.85
07-03-2018,486.1,488,472.1,477.4,10035,15.9,8.7
06-03-2018,500,500,482.15,486.1,4856,17.85,13.9
05-03-2018,515,515,492.5,495.05,6101,22.5,19.95
01-03-2018,503.45,525,503.45,514.15,2071,21.55,-10.7
28-02-2018,505.5,517,500,515.7,2424,17,-10.2
27-02-2018,517,529.9,515.05,517.85,3409,14.85,-0.85
26-02-2018,519,527.5,508,516.15,4588,19.5,2.85
23-02-2018,481.4,504.35,472,504.35,3059,32.35,-22.95
22-02-2018,485,488.55,475,480.35,4510,13.55,4.65
21-02-2018,510,510,470,487.55,6131,40,22.45
20-02-2018,500,500,476.55,494.5,3431,23.45,5.5
19-02-2018,525.15,525.15,493.05,494.75,6853,32.1,30.4
16-02-2018,530.05,542,510.3,518.95,3778,31.7,11.1
15-02-2018,569,569,525.5,537,8006,43.5,32
14-02-2018,575,576,550,552.95,18217,26,22.05
12-02-2018,580,580,549.1,554.85,9274,30.9,25.15
09-02-2018,580.25,599.65,578,578,47891,21.65,2.25
08-02-2018,600,608.4,592.8,608.4,5832,15.6,-8.4
07-02-2018,555,579.45,555,579.45,10731,24.45,-24.45
06-02-2018,555,567.75,541.55,551.9,10887,26.2,3.1
05-02-2018,550,584,542.6,570.05,8432,41.4,-20.05
02-02-2018,575,596.7,558,571.15,30412,38.7,3.85
01-02-2018,583,600,552,587.2,5197,48,-4.2
31-01-2018,586,595,575,579.7,3967,20,6.3
30-01-2018,596,605,584,592.4,7600,21,3.6
29-01-2018,597,630,597,600.1,5066,33,-3.1
25-01-2018,608,622,590,602.8,3559,32,5.2
24-01-2018,615,633.95,607,613,10751,26.95,2
23-01-2018,630,634.05,620.25,634.05,16246,13.8,-4.05
22-01-2018,578,603.9,560.9,603.9,7921,43,-25.9
19-01-2018,620,620,568.2,575.15,47402,51.8,44.85
18-01-2018,661,661,598.1,598.1,17163,62.9,62.9
17-01-2018,645,645,599.9,629.55,28711,45.1,15.45
16-01-2018,643,650,615.5,631.45,62437,34.5,11.55
15-01-2018,629.4,634.65,625,634.65,74224,9.65,-5.25
12-01-2018,578,605.25,565,604.45,91425,40.25,-26.45
11-01-2018,581,582.4,564,576.45,3068,18.4,4.55
10-01-2018,559,580,557,569.7,3562,23,-10.7
09-01-2018,569,575.5,557.65,564.45,4600,17.85,4.55
08-01-2018,580,580,550,557.65,3450,30,22.35
05-01-2018,552,583.1,551,564.8,18509,32.1,-12.8
04-01-2018,569.3,574.95,551,555.35,5200,23.95,13.95
03-01-2018,580,580,550.05,569.3,3174,29.95,10.7
02-01-2018,585,594.4,555,565.65,9911,39.4,19.35
01-01-2018,541.6,568.65,535.1,568.65,13253,33.55,-27.05
29-12-2017,540,549,535.5,541.6,4814,13.5,-1.6
28-12-2017,551.15,551.15,525,531.5,4474,26.15,19.65
27-12-2017,560,569.95,542.3,551.15,10538,27.65,8.85
26-12-2017,598,598,560,570.8,3872,38,27.2
22-12-2017,611.9,611.9,572,579.15,9276,39.9,32.75
21-12-2017,585.5,585.5,562.25,585.5,40043,23.25,0
20-12-2017,557.65,557.65,557.65,557.65,1296,0,0
19-12-2017,529.9,531.1,518.05,531.1,7619,13.05,-1.2
18-12-2017,505,505.85,457.75,505.85,11061,48.1,-0.85
15-12-2017,479,481.8,468.2,481.8,3353,13.6,-2.8
14-12-2017,466.1,471,457.9,458.9,10671,13.1,7.2
13-12-2017,465.9,490,462.25,481.95,3743,27.75,-16.05
12-12-2017,509.5,509.5,484.05,484.25,8173,25.45,25.25
11-12-2017,516,540,496,509.5,6067,44,6.5
08-12-2017,502.85,544,502.85,516.35,11758,41.15,-13.5
07-12-2017,560,572,529.3,529.3,26170,42.7,30.7
06-12-2017,545,565,539,557.15,23175,26,-12.15
05-12-2017,532,538.7,520,538.7,139287,18.7,-6.7
04-12-2017,475,513.1,475,513.05,105950,38.1,-38.05
01-12-2017,455,500.5,455,488.7,16638,45.5,-33.7
30-11-2017,518,518,473.45,476.7,43848,44.55,41.3
29-11-2017,498.35,498.35,495,498.35,33179,3.35,0
28-11-2017,453.1,474.65,453.1,474.65,6615,21.55,-21.55
27-11-2017,440,452.05,440,452.05,40950,12.05,-12.05
24-11-2017,424.9,430.65,422,430.55,42866,8.65,-5.65
23-11-2017,390.65,410.15,385.1,410.15,85893,25.05,-19.5
22-11-2017,383,397,375,390.65,8754,22,-7.65
21-11-2017,371.9,383.7,365,380.05,9029,18.7,-8.15
20-11-2017,359.95,369.7,352.2,366.3,6396,17.5,-6.35
17-11-2017,365,372,351,359.95,5444,21,5.05
16-11-2017,364.45,374,355,364.2,3894,19,0.25
15-11-2017,361,369.15,340,364.45,24620,29.15,-3.45
14-11-2017,332,351.6,326.15,351.6,16205,25.45,-19.6
13-11-2017,347.5,353.65,332.5,334.9,26667,21.15,12.6
10-11-2017,358.05,361.25,343.05,345.55,20191,18.2,12.5
09-11-2017,359.7,369.25,353.15,363.1,43626,16.1,-3.4
08-11-2017,358,371.7,346.2,352,138159,25.5,6
07-11-2017,343.45,346.45,328,337.95,38639,18.45,5.5
06-11-2017,338.35,362,338.35,343.45,33394,23.65,-5.1
03-11-2017,346.15,366,343.1,345.55,78890,22.9,0.6
02-11-2017,362,362,330.9,337.4,50042,31.1,24.6
01-11-2017,318.65,371.95,317.65,362.8,269728,54.3,-44.15
31-10-2017,305,319.85,298.45,315.3,52018,21.4,-10.3
30-10-2017,309.95,315.9,294.95,298.45,32309,20.95,11.5
27-10-2017,274.6,324.3,273,308.1,163333,51.3,-33.5
